vintage,months_on_books,n_loans_originated,n_active,n_defaulted_cumulative,cumulative_default_rate,marginal_default_rate,avg_pd_at_origination,avg_credit_score
2015Q2,13,1425,1321,29,0.020351,0.003028,0.021569,715.8
2015Q2,14,1425,1317,29,0.020351,0.0,0.021569,715.8
2015Q2,15,1425,1317,30,0.021053,0.000759,0.021569,715.8
2015Q2,16,1425,1316,32,0.022456,0.00152,0.021569,715.8
2015Q2,17,1425,1314,35,0.024561,0.002283,0.021569,715.8
2015Q2,18,1425,1311,36,0.025263,0.000763,0.021569,715.8
2015Q2,19,1425,1310,36,0.025263,0.0,0.021569,715.8
2015Q2,20,1425,1310,36,0.025263,0.0,0.021569,715.8
2015Q2,21,1425,1310,41,0.028772,0.003817,0.021569,715.8
2015Q2,22,1425,1305,43,0.030175,0.001533,0.021569,715.8
2015Q2,23,1425,1303,45,0.031579,0.001535,0.021569,715.8
2015Q2,24,1425,1301,46,0.032281,0.000769,0.021569,715.8
2015Q2,25,1425,1180,48,0.033684,0.001695,0.021569,715.8
2015Q2,26,1425,1178,48,0.033684,0.0,0.021569,715.8
2015Q2,27,1425,1178,49,0.034386,0.000849,0.021569,715.8
2015Q2,28,1425,1177,51,0.035789,0.001699,0.021569,715.8
2015Q2,29,1425,1175,53,0.037193,0.001702,0.021569,715.8
2015Q2,30,1425,1173,54,0.037895,0.000853,0.021569,715.8
2015Q2,31,1425,1172,58,0.040702,0.003413,0.021569,715.8
2015Q2,32,1425,1168,60,0.042105,0.001712,0.021569,715.8
2015Q2,33,1425,1166,64,0.044912,0.003431,0.021569,715.8
2015Q2,34,1425,1162,66,0.046316,0.001721,0.021569,715.8
2015Q2,35,1425,1160,68,0.047719,0.001724,0.021569,715.8
2015Q2,36,1425,1158,71,0.049825,0.002591,0.021569,715.8
2015Q2,37,1425,886,73,0.051228,0.002257,0.021569,715.8
2015Q2,38,1425,884,75,0.052632,0.002262,0.021569,715.8
2015Q2,39,1425,882,78,0.054737,0.003401,0.021569,715.8
2015Q2,40,1425,879,81,0.056842,0.003413,0.021569,715.8
2015Q2,41,1425,876,82,0.057544,0.001142,0.021569,715.8
2015Q2,42,1425,875,83,0.058246,0.001143,0.021569,715.8
2015Q2,43,1425,874,84,0.058947,0.001144,0.021569,715.8
2015Q2,44,1425,873,85,0.059649,0.001145,0.021569,715.8
2015Q2,45,1425,872,86,0.060351,0.001147,0.021569,715.8
2015Q2,46,1425,871,88,0.061754,0.002296,0.021569,715.8
2015Q2,47,1425,869,93,0.065263,0.005754,0.021569,715.8
2015Q2,48,1425,864,93,0.065263,0.0,0.021569,715.8
2015Q2,49,1425,515,94,0.065965,0.001942,0.021569,715.8
2015Q2,50,1425,514,96,0.067368,0.003891,0.021569,715.8
2015Q2,51,1425,512,97,0.06807,0.001953,0.021569,715.8
2015Q2,52,1425,511,98,0.068772,0.001957,0.021569,715.8
2015Q2,53,1425,510,100,0.070175,0.003922,0.021569,715.8
2015Q2,54,1425,508,100,0.070175,0.0,0.021569,715.8
2015Q2,55,1425,508,100,0.070175,0.0,0.021569,715.8
2015Q2,56,1425,508,100,0.070175,0.0,0.021569,715.8
2015Q2,57,1425,508,101,0.070877,0.001969,0.021569,715.8
2015Q2,58,1425,507,105,0.073684,0.00789,0.021569,715.8
2015Q2,59,1425,503,121,0.084912,0.031809,0.021569,715.8
2015Q2,60,1425,487,148,0.10386,0.055441,0.021569,715.8
2015Q3,1,1377,1377,4,0.002905,0.002905,0.024999,713.8
2015Q3,2,1377,1373,10,0.007262,0.00437,0.024999,713.8
2015Q3,3,1377,1367,13,0.009441,0.002195,0.024999,713.8
2015Q3,4,1377,1364,14,0.010167,0.000733,0.024999,713.8
2015Q3,5,1377,1363,14,0.010167,0.0,0.024999,713.8
2015Q3,6,1377,1363,17,0.012346,0.002201,0.024999,713.8
2015Q3,7,1377,1360,26,0.018882,0.006618,0.024999,713.8
2015Q3,8,1377,1351,26,0.018882,0.0,0.024999,713.8
2015Q3,9,1377,1351,28,0.020334,0.00148,0.024999,713.8
2015Q3,10,1377,1349,32,0.023239,0.002965,0.024999,713.8
2015Q3,11,1377,1345,35,0.025418,0.00223,0.024999,713.8
2015Q3,12,1377,1342,37,0.02687,0.00149,0.024999,713.8
2015Q3,13,1377,1276,39,0.028322,0.001567,0.024999,713.8
2015Q3,14,1377,1274,42,0.030501,0.002355,0.024999,713.8
2015Q3,15,1377,1271,43,0.031227,0.000787,0.024999,713.8
2015Q3,16,1377,1270,45,0.03268,0.001575,0.024999,713.8
2015Q3,17,1377,1268,47,0.034132,0.001577,0.024999,713.8
2015Q3,18,1377,1266,49,0.035585,0.00158,0.024999,713.8
2015Q3,19,1377,1264,53,0.038489,0.003165,0.024999,713.8
2015Q3,20,1377,1260,55,0.039942,0.001587,0.024999,713.8
2015Q3,21,1377,1258,59,0.042847,0.00318,0.024999,713.8
2015Q3,22,1377,1254,60,0.043573,0.000797,0.024999,713.8
2015Q3,23,1377,1253,61,0.044299,0.000798,0.024999,713.8
2015Q3,24,1377,1252,65,0.047204,0.003195,0.024999,713.8
2015Q3,25,1377,1106,67,0.048656,0.001808,0.024999,713.8
2015Q3,26,1377,1104,67,0.048656,0.0,0.024999,713.8
2015Q3,27,1377,1104,71,0.051561,0.003623,0.024999,713.8
2015Q3,28,1377,1100,73,0.053014,0.001818,0.024999,713.8
2015Q3,29,1377,1098,76,0.055192,0.002732,0.024999,713.8
2015Q3,30,1377,1095,77,0.055919,0.000913,0.024999,713.8
2015Q3,31,1377,1094,79,0.057371,0.001828,0.024999,713.8
2015Q3,32,1377,1092,80,0.058097,0.000916,0.024999,713.8
2015Q3,33,1377,1091,83,0.060276,0.00275,0.024999,713.8
2015Q3,34,1377,1088,83,0.060276,0.0,0.024999,713.8
2015Q3,35,1377,1088,85,0.061728,0.001838,0.024999,713.8
2015Q3,36,1377,1086,85,0.061728,0.0,0.024999,713.8
2015Q3,37,1377,851,87,0.063181,0.00235,0.024999,713.8
2015Q3,38,1377,849,87,0.063181,0.0,0.024999,713.8
2015Q3,39,1377,849,89,0.064633,0.002356,0.024999,713.8
2015Q3,40,1377,847,90,0.065359,0.001181,0.024999,713.8
2015Q3,41,1377,846,93,0.067538,0.003546,0.024999,713.8
2015Q3,42,1377,843,95,0.068991,0.002372,0.024999,713.8
2015Q3,43,1377,841,96,0.069717,0.001189,0.024999,713.8
2015Q3,44,1377,840,98,0.071169,0.002381,0.024999,713.8
2015Q3,45,1377,838,98,0.071169,0.0,0.024999,713.8
2015Q3,46,1377,838,99,0.071895,0.001193,0.024999,713.8
2015Q3,47,1377,837,100,0.072622,0.001195,0.024999,713.8
2015Q3,48,1377,836,101,0.073348,0.001196,0.024999,713.8
2015Q3,49,1377,488,101,0.073348,0.0,0.024999,713.8
2015Q3,50,1377,488,101,0.073348,0.0,0.024999,713.8
2015Q3,51,1377,488,102,0.074074,0.002049,0.024999,713.8
2015Q3,52,1377,487,102,0.074074,0.0,0.024999,713.8
2015Q3,53,1377,487,102,0.074074,0.0,0.024999,713.8
2015Q3,54,1377,487,102,0.074074,0.0,0.024999,713.8
2015Q3,55,1377,487,118,0.085694,0.032854,0.024999,713.8
2015Q3,56,1377,471,140,0.10167,0.046709,0.024999,713.8
2015Q3,57,1377,449,160,0.116195,0.044543,0.024999,713.8
2015Q3,58,1377,429,175,0.127088,0.034965,0.024999,713.8
2015Q3,59,1377,414,179,0.129993,0.009662,0.024999,713.8
2015Q3,60,1377,410,179,0.129993,0.0,0.024999,713.8
2015Q4,1,1368,1368,1,0.000731,0.000731,0.021406,714.2
2015Q4,2,1368,1367,1,0.000731,0.0,0.021406,714.2
2015Q4,3,1368,1367,5,0.003655,0.002926,0.021406,714.2
2015Q4,4,1368,1363,8,0.005848,0.002201,0.021406,714.2
2015Q4,5,1368,1360,12,0.008772,0.002941,0.021406,714.2
2015Q4,6,1368,1356,16,0.011696,0.00295,0.021406,714.2
2015Q4,7,1368,1352,19,0.013889,0.002219,0.021406,714.2
2015Q4,8,1368,1349,19,0.013889,0.0,0.021406,714.2
2015Q4,9,1368,1349,21,0.015351,0.001483,0.021406,714.2
2015Q4,10,1368,1347,24,0.017544,0.002227,0.021406,714.2
2015Q4,11,1368,1344,26,0.019006,0.001488,0.021406,714.2
2015Q4,12,1368,1342,27,0.019737,0.000745,0.021406,714.2
2015Q4,13,1368,1259,30,0.02193,0.002383,0.021406,714.2
2015Q4,14,1368,1256,36,0.026316,0.004777,0.021406,714.2
2015Q4,15,1368,1250,38,0.027778,0.0016,0.021406,714.2
2015Q4,16,1368,1248,40,0.02924,0.001603,0.021406,714.2
2015Q4,17,1368,1246,46,0.033626,0.004815,0.021406,714.2
2015Q4,18,1368,1240,47,0.034357,0.000806,0.021406,714.2
2015Q4,19,1368,1239,51,0.037281,0.003228,0.021406,714.2
2015Q4,20,1368,1235,55,0.040205,0.003239,0.021406,714.2
2015Q4,21,1368,1231,58,0.042398,0.002437,0.021406,714.2
2015Q4,22,1368,1228,60,0.04386,0.001629,0.021406,714.2
2015Q4,23,1368,1226,65,0.047515,0.004078,0.021406,714.2
2015Q4,24,1368,1221,65,0.047515,0.0,0.021406,714.2
2015Q4,25,1368,1103,65,0.047515,0.0,0.021406,714.2
2015Q4,26,1368,1103,67,0.048977,0.001813,0.021406,714.2
2015Q4,27,1368,1101,71,0.051901,0.003633,0.021406,714.2
2015Q4,28,1368,1097,71,0.051901,0.0,0.021406,714.2
2015Q4,29,1368,1097,73,0.053363,0.001823,0.021406,714.2
2015Q4,30,1368,1095,73,0.053363,0.0,0.021406,714.2
2015Q4,31,1368,1095,73,0.053363,0.0,0.021406,714.2
2015Q4,32,1368,1095,75,0.054825,0.001826,0.021406,714.2
2015Q4,33,1368,1093,76,0.055556,0.000915,0.021406,714.2
2015Q4,34,1368,1092,76,0.055556,0.0,0.021406,714.2
2015Q4,35,1368,1092,79,0.057749,0.002747,0.021406,714.2
2015Q4,36,1368,1089,80,0.05848,0.000918,0.021406,714.2
2015Q4,37,1368,839,81,0.059211,0.001192,0.021406,714.2
2015Q4,38,1368,838,81,0.059211,0.0,0.021406,714.2
2015Q4,39,1368,838,81,0.059211,0.0,0.021406,714.2
2015Q4,40,1368,838,81,0.059211,0.0,0.021406,714.2
2015Q4,41,1368,838,85,0.062135,0.004773,0.021406,714.2
2015Q4,42,1368,834,86,0.062865,0.001199,0.021406,714.2
2015Q4,43,1368,833,89,0.065058,0.003601,0.021406,714.2
2015Q4,44,1368,830,89,0.065058,0.0,0.021406,714.2
2015Q4,45,1368,830,89,0.065058,0.0,0.021406,714.2
2015Q4,46,1368,830,89,0.065058,0.0,0.021406,714.2
2015Q4,47,1368,830,90,0.065789,0.001205,0.021406,714.2
2015Q4,48,1368,829,92,0.067251,0.002413,0.021406,714.2
2015Q4,49,1368,500,94,0.068713,0.004,0.021406,714.2
2015Q4,50,1368,498,97,0.070906,0.006024,0.021406,714.2
2015Q4,51,1368,495,97,0.070906,0.0,0.021406,714.2
2015Q4,52,1368,495,105,0.076754,0.016162,0.021406,714.2
2015Q4,53,1368,487,125,0.091374,0.041068,0.021406,714.2
2015Q4,54,1368,467,147,0.107456,0.047109,0.021406,714.2
2015Q4,55,1368,445,164,0.119883,0.038202,0.021406,714.2
2015Q4,56,1368,428,179,0.130848,0.035047,0.021406,714.2
2015Q4,57,1368,413,179,0.130848,0.0,0.021406,714.2
2015Q4,58,1368,413,179,0.130848,0.0,0.021406,714.2
2015Q4,59,1368,413,179,0.130848,0.0,0.021406,714.2
2015Q4,60,1368,413,179,0.130848,0.0,0.021406,714.2
2016Q1,1,1376,1376,1,0.000727,0.000727,0.021165,714.5
2016Q1,2,1376,1375,2,0.001453,0.000727,0.021165,714.5
2016Q1,3,1376,1374,3,0.00218,0.000728,0.021165,714.5
2016Q1,4,1376,1373,9,0.006541,0.00437,0.021165,714.5
2016Q1,5,1376,1367,11,0.007994,0.001463,0.021165,714.5
2016Q1,6,1376,1365,14,0.010174,0.002198,0.021165,714.5
2016Q1,7,1376,1362,16,0.011628,0.001468,0.021165,714.5
2016Q1,8,1376,1360,20,0.014535,0.002941,0.021165,714.5
2016Q1,9,1376,1356,20,0.014535,0.0,0.021165,714.5
2016Q1,10,1376,1356,23,0.016715,0.002212,0.021165,714.5
2016Q1,11,1376,1353,24,0.017442,0.000739,0.021165,714.5
2016Q1,12,1376,1352,25,0.018169,0.00074,0.021165,714.5
2016Q1,13,1376,1293,26,0.018895,0.000773,0.021165,714.5
2016Q1,14,1376,1292,30,0.021802,0.003096,0.021165,714.5
2016Q1,15,1376,1288,32,0.023256,0.001553,0.021165,714.5
2016Q1,16,1376,1286,36,0.026163,0.00311,0.021165,714.5
2016Q1,17,1376,1282,38,0.027616,0.00156,0.021165,714.5
2016Q1,18,1376,1280,39,0.028343,0.000781,0.021165,714.5
2016Q1,19,1376,1279,41,0.029797,0.001564,0.021165,714.5
2016Q1,20,1376,1277,44,0.031977,0.002349,0.021165,714.5
2016Q1,21,1376,1274,45,0.032703,0.000785,0.021165,714.5
2016Q1,22,1376,1273,49,0.03561,0.003142,0.021165,714.5
2016Q1,23,1376,1269,50,0.036337,0.000788,0.021165,714.5
2016Q1,24,1376,1268,52,0.037791,0.001577,0.021165,714.5
2016Q1,25,1376,1131,54,0.039244,0.001768,0.021165,714.5
2016Q1,26,1376,1129,55,0.039971,0.000886,0.021165,714.5
2016Q1,27,1376,1128,59,0.042878,0.003546,0.021165,714.5
2016Q1,28,1376,1124,61,0.044331,0.001779,0.021165,714.5
2016Q1,29,1376,1122,62,0.045058,0.000891,0.021165,714.5
2016Q1,30,1376,1121,65,0.047238,0.002676,0.021165,714.5
2016Q1,31,1376,1118,67,0.048692,0.001789,0.021165,714.5
2016Q1,32,1376,1116,69,0.050145,0.001792,0.021165,714.5
2016Q1,33,1376,1114,72,0.052326,0.002693,0.021165,714.5
2016Q1,34,1376,1111,72,0.052326,0.0,0.021165,714.5
2016Q1,35,1376,1111,73,0.053052,0.0009,0.021165,714.5
2016Q1,36,1376,1110,73,0.053052,0.0,0.021165,714.5
2016Q1,37,1376,871,78,0.056686,0.005741,0.021165,714.5
2016Q1,38,1376,866,79,0.057413,0.001155,0.021165,714.5
2016Q1,39,1376,865,79,0.057413,0.0,0.021165,714.5
2016Q1,40,1376,865,80,0.05814,0.001156,0.021165,714.5
2016Q1,41,1376,864,82,0.059593,0.002315,0.021165,714.5
2016Q1,42,1376,862,83,0.06032,0.00116,0.021165,714.5
2016Q1,43,1376,861,85,0.061773,0.002323,0.021165,714.5
2016Q1,44,1376,859,86,0.0625,0.001164,0.021165,714.5
2016Q1,45,1376,858,88,0.063953,0.002331,0.021165,714.5
2016Q1,46,1376,856,91,0.066134,0.003505,0.021165,714.5
2016Q1,47,1376,853,93,0.067587,0.002345,0.021165,714.5
2016Q1,48,1376,851,94,0.068314,0.001175,0.021165,714.5
2016Q1,49,1376,550,107,0.077762,0.023636,0.021165,714.5
2016Q1,50,1376,537,123,0.08939,0.029795,0.021165,714.5
2016Q1,51,1376,521,156,0.113372,0.06334,0.021165,714.5
2016Q1,52,1376,488,175,0.12718,0.038934,0.021165,714.5
2016Q1,53,1376,469,189,0.137355,0.029851,0.021165,714.5
2016Q1,54,1376,455,189,0.137355,0.0,0.021165,714.5
2016Q1,55,1376,455,189,0.137355,0.0,0.021165,714.5
2016Q1,56,1376,455,189,0.137355,0.0,0.021165,714.5
2016Q1,57,1376,455,189,0.137355,0.0,0.021165,714.5
2016Q1,58,1376,455,189,0.137355,0.0,0.021165,714.5
2016Q1,59,1376,455,189,0.137355,0.0,0.021165,714.5
2016Q1,60,1376,455,191,0.138808,0.004396,0.021165,714.5
2016Q2,1,1445,1445,2,0.001384,0.001384,0.019368,715.5
2016Q2,2,1445,1443,4,0.002768,0.001386,0.019368,715.5
2016Q2,3,1445,1441,7,0.004844,0.002082,0.019368,715.5
2016Q2,4,1445,1438,8,0.005536,0.000695,0.019368,715.5
2016Q2,5,1445,1437,10,0.00692,0.001392,0.019368,715.5
2016Q2,6,1445,1435,15,0.010381,0.003484,0.019368,715.5
2016Q2,7,1445,1430,18,0.012457,0.002098,0.019368,715.5
2016Q2,8,1445,1427,21,0.014533,0.002102,0.019368,715.5
2016Q2,9,1445,1424,22,0.015225,0.000702,0.019368,715.5
2016Q2,10,1445,1423,23,0.015917,0.000703,0.019368,715.5
2016Q2,11,1445,1422,26,0.017993,0.00211,0.019368,715.5
2016Q2,12,1445,1419,28,0.019377,0.001409,0.019368,715.5
2016Q2,13,1445,1345,28,0.019377,0.0,0.019368,715.5
2016Q2,14,1445,1345,32,0.022145,0.002974,0.019368,715.5
2016Q2,15,1445,1341,35,0.024221,0.002237,0.019368,715.5
2016Q2,16,1445,1338,36,0.024913,0.000747,0.019368,715.5
2016Q2,17,1445,1337,38,0.026298,0.001496,0.019368,715.5
2016Q2,18,1445,1335,40,0.027682,0.001498,0.019368,715.5
2016Q2,19,1445,1333,42,0.029066,0.0015,0.019368,715.5
2016Q2,20,1445,1331,42,0.029066,0.0,0.019368,715.5
2016Q2,21,1445,1331,45,0.031142,0.002254,0.019368,715.5
2016Q2,22,1445,1328,47,0.032526,0.001506,0.019368,715.5
2016Q2,23,1445,1326,50,0.034602,0.002262,0.019368,715.5
2016Q2,24,1445,1323,53,0.036678,0.002268,0.019368,715.5
2016Q2,25,1445,1196,57,0.039446,0.003344,0.019368,715.5
2016Q2,26,1445,1192,59,0.04083,0.001678,0.019368,715.5
2016Q2,27,1445,1190,60,0.041522,0.00084,0.019368,715.5
2016Q2,28,1445,1189,60,0.041522,0.0,0.019368,715.5
2016Q2,29,1445,1189,65,0.044983,0.004205,0.019368,715.5
2016Q2,30,1445,1184,67,0.046367,0.001689,0.019368,715.5
2016Q2,31,1445,1182,69,0.047751,0.001692,0.019368,715.5
2016Q2,32,1445,1180,70,0.048443,0.000847,0.019368,715.5
2016Q2,33,1445,1179,72,0.049827,0.001696,0.019368,715.5
2016Q2,34,1445,1177,72,0.049827,0.0,0.019368,715.5
2016Q2,35,1445,1177,76,0.052595,0.003398,0.019368,715.5
2016Q2,36,1445,1173,77,0.053287,0.000853,0.019368,715.5
2016Q2,37,1445,902,78,0.053979,0.001109,0.019368,715.5
2016Q2,38,1445,901,79,0.054671,0.00111,0.019368,715.5
2016Q2,39,1445,900,79,0.054671,0.0,0.019368,715.5
2016Q2,40,1445,900,79,0.054671,0.0,0.019368,715.5
2016Q2,41,1445,900,80,0.055363,0.001111,0.019368,715.5
2016Q2,42,1445,899,84,0.058131,0.004449,0.019368,715.5
2016Q2,43,1445,895,85,0.058824,0.001117,0.019368,715.5
2016Q2,44,1445,894,86,0.059516,0.001119,0.019368,715.5
2016Q2,45,1445,893,87,0.060208,0.00112,0.019368,715.5
2016Q2,46,1445,892,108,0.07474,0.023543,0.019368,715.5
2016Q2,47,1445,871,133,0.092042,0.028703,0.019368,715.5
2016Q2,48,1445,846,189,0.130796,0.066194,0.019368,715.5
2016Q2,49,1445,501,211,0.146021,0.043912,0.019368,715.5
2016Q2,50,1445,479,217,0.150173,0.012526,0.019368,715.5
2016Q2,51,1445,473,217,0.150173,0.0,0.019368,715.5
2016Q2,52,1445,473,217,0.150173,0.0,0.019368,715.5
2016Q2,53,1445,473,217,0.150173,0.0,0.019368,715.5
2016Q2,54,1445,473,217,0.150173,0.0,0.019368,715.5
2016Q2,55,1445,473,218,0.150865,0.002114,0.019368,715.5
2016Q2,56,1445,472,219,0.151557,0.002119,0.019368,715.5
2016Q2,57,1445,471,220,0.152249,0.002123,0.019368,715.5
2016Q2,58,1445,470,221,0.152941,0.002128,0.019368,715.5
2016Q2,59,1445,469,222,0.153633,0.002132,0.019368,715.5
2016Q2,60,1445,468,222,0.153633,0.0,0.019368,715.5
2016Q3,1,1325,1325,3,0.002264,0.002264,0.020226,717.0
2016Q3,2,1325,1322,6,0.004528,0.002269,0.020226,717.0
2016Q3,3,1325,1319,9,0.006792,0.002274,0.020226,717.0
2016Q3,4,1325,1316,11,0.008302,0.00152,0.020226,717.0
2016Q3,5,1325,1314,13,0.009811,0.001522,0.020226,717.0
2016Q3,6,1325,1312,15,0.011321,0.001524,0.020226,717.0
2016Q3,7,1325,1310,16,0.012075,0.000763,0.020226,717.0
2016Q3,8,1325,1309,22,0.016604,0.004584,0.020226,717.0
2016Q3,9,1325,1303,27,0.020377,0.003837,0.020226,717.0
2016Q3,10,1325,1298,28,0.021132,0.00077,0.020226,717.0
2016Q3,11,1325,1297,29,0.021887,0.000771,0.020226,717.0
2016Q3,12,1325,1296,31,0.023396,0.001543,0.020226,717.0
2016Q3,13,1325,1236,34,0.02566,0.002427,0.020226,717.0
2016Q3,14,1325,1233,37,0.027925,0.002433,0.020226,717.0
2016Q3,15,1325,1230,37,0.027925,0.0,0.020226,717.0
2016Q3,16,1325,1230,39,0.029434,0.001626,0.020226,717.0
2016Q3,17,1325,1228,43,0.032453,0.003257,0.020226,717.0
2016Q3,18,1325,1224,44,0.033208,0.000817,0.020226,717.0
2016Q3,19,1325,1223,46,0.034717,0.001635,0.020226,717.0
2016Q3,20,1325,1221,49,0.036981,0.002457,0.020226,717.0
2016Q3,21,1325,1218,50,0.037736,0.000821,0.020226,717.0
2016Q3,22,1325,1217,50,0.037736,0.0,0.020226,717.0
2016Q3,23,1325,1217,52,0.039245,0.001643,0.020226,717.0
2016Q3,24,1325,1215,54,0.040755,0.001646,0.020226,717.0
2016Q3,25,1325,1084,55,0.041509,0.000923,0.020226,717.0
2016Q3,26,1325,1083,56,0.042264,0.000923,0.020226,717.0
2016Q3,27,1325,1082,58,0.043774,0.001848,0.020226,717.0
2016Q3,28,1325,1080,60,0.045283,0.001852,0.020226,717.0
2016Q3,29,1325,1078,62,0.046792,0.001855,0.020226,717.0
2016Q3,30,1325,1076,65,0.049057,0.002788,0.020226,717.0
2016Q3,31,1325,1073,66,0.049811,0.000932,0.020226,717.0
2016Q3,32,1325,1072,67,0.050566,0.000933,0.020226,717.0
2016Q3,33,1325,1071,69,0.052075,0.001867,0.020226,717.0
2016Q3,34,1325,1069,71,0.053585,0.001871,0.020226,717.0
2016Q3,35,1325,1067,74,0.055849,0.002812,0.020226,717.0
2016Q3,36,1325,1064,77,0.058113,0.00282,0.020226,717.0
2016Q3,37,1325,813,77,0.058113,0.0,0.020226,717.0
2016Q3,38,1325,813,78,0.058868,0.00123,0.020226,717.0
2016Q3,39,1325,812,78,0.058868,0.0,0.020226,717.0
2016Q3,40,1325,812,80,0.060377,0.002463,0.020226,717.0
2016Q3,41,1325,810,81,0.061132,0.001235,0.020226,717.0
2016Q3,42,1325,809,81,0.061132,0.0,0.020226,717.0
