origination_month,originated_loans,originated_ead,eventual_defaults,eventual_default_rate,avg_model_probability,avg_existing_pd,avg_credit_score
2017-11,464,1510047127.23,86,0.1853448275862069,0.19610153879310344,0.021289939655172414,716.6400862068965
2017-12,451,1511768032.74,84,0.18625277161862527,0.19908050110864747,0.021873869179600887,715.7960088691796
2018-01,481,1471439524.52,80,0.16632016632016633,0.19143593762993763,0.02060227027027027,715.4386694386694
2018-02,483,1589722409.01,96,0.19875776397515527,0.20075403933747413,0.02254574741200828,713.5072463768116
2018-03,463,1438157166.48,93,0.20086393088552915,0.19834690496760257,0.020951917926565873,716.1447084233262
2018-04,439,1525792157.44,87,0.19817767653758542,0.19546759225512528,0.020136715261959,714.7015945330296
2018-05,435,1435866136.18,87,0.2,0.1993514804597701,0.022086218390804598,718.3816091954023
2018-06,407,1309200870.11,93,0.2285012285012285,0.20775563882063883,0.022636830466830463,715.4127764127765
2018-07,461,1517121547.26,96,0.20824295010845986,0.20111696746203905,0.022343396963123645,713.0108459869848
2018-08,478,1593026191.04,97,0.20292887029288703,0.19612036820083684,0.018026271966527195,715.5983263598326
2018-09,475,1456870180.52,80,0.16842105263157894,0.1859491052631579,0.02165966105263158,718.6
2018-10,462,1635887210.8700001,100,0.21645021645021645,0.20671277922077924,0.025055359307359307,712.8679653679653
2018-11,472,1596760978.3,95,0.20127118644067796,0.18545915042372882,0.019328307203389832,714.0720338983051
2018-12,449,1338137761.87,88,0.19599109131403117,0.20134209576837417,0.022460795100222718,714.1291759465479
2019-01,460,1484133284.46,94,0.20434782608695654,0.21515284347826089,0.02062203260869565,713.0
2019-02,447,1282610496.54,86,0.19239373601789708,0.19979249217002237,0.021353225950783,715.9619686800895
2019-03,440,1428377392.32,76,0.17272727272727273,0.19494028863636362,0.019622986363636363,716.1477272727273
2019-04,479,1400802230.19,112,0.23382045929018788,0.20512081419624217,0.02161801043841336,713.3194154488518
2019-05,437,1285836129.94,95,0.21739130434782608,0.20443786498855837,0.02431570022883295,716.0983981693364
2019-06,455,1379672846.97,107,0.23516483516483516,0.20975600659340657,0.024124206593406593,714.6043956043956
2019-07,502,1726349176.16,100,0.199203187250996,0.19807545418326694,0.02113678685258964,715.0996015936255
2019-08,459,1474156362.66,98,0.21350762527233116,0.206870091503268,0.025805063180827887,715.5577342047931
2019-09,479,1573206943.29,108,0.2254697286012526,0.19875841127348645,0.020838313152400836,716.6388308977035
2019-10,483,1689900419.05,122,0.2525879917184265,0.2164993768115942,0.023683233954451346,710.7929606625258
2019-11,464,1435852406.16,96,0.20689655172413793,0.19425507112068965,0.017700202586206897,716.8297413793103
2019-12,443,1511277989.62,101,0.22799097065462753,0.20252097742663655,0.023694200902934535,716.8781038374718
2020-01,453,1519739115.21,108,0.23841059602649006,0.2032210838852097,0.021886684326710818,714.0331125827814
2020-02,466,1681439071.12,104,0.22317596566523606,0.18626033690987126,0.02097922103004292,716.8175965665237
2020-03,434,1463371348.03,58,0.1336405529953917,0.13713368894009217,0.03725201382488479,717.1751152073733
2020-04,444,2005187133.49,50,0.11261261261261261,0.1339292747747748,0.03548103828828829,714.9774774774775
2020-05,456,1585144691.18,52,0.11403508771929824,0.13307672149122807,0.034232747807017544,714.3004385964912
2020-06,496,1655294717.35,61,0.12298387096774194,0.13374479435483871,0.03271790927419355,713.3487903225806
2020-07,470,1568830445.7,52,0.11063829787234042,0.13240472340425533,0.03215961702127659,715.4723404255319
2020-08,473,1493914912.99,48,0.1014799154334038,0.1286145961945032,0.029662505285412262,712.1670190274841
2020-09,465,1674883850.36,60,0.12903225806451613,0.13342656559139784,0.03132269032258064,714.6451612903226
2020-10,475,1517607908.74,53,0.11157894736842106,0.13530478736842105,0.03484452421052631,715.3726315789473
2020-11,485,1525298861.84,49,0.10103092783505155,0.1337123175257732,0.03058241030927835,711.898969072165
2020-12,444,1293095169.2,33,0.07432432432432433,0.12683458783783783,0.028665646396396394,716.8716216216217
2021-01,474,1510242652.81,35,0.07383966244725738,0.12485336075949367,0.019452571729957804,719.4135021097046
2021-02,472,1597901667.17,36,0.07627118644067797,0.12511656144067795,0.019562531779661017,715.3898305084746
2021-03,455,1633312470.59,36,0.07912087912087912,0.12392015604395604,0.019495087912087913,717.8241758241758
2021-04,453,1441975891.76,40,0.08830022075055188,0.12864990728476822,0.022248993377483445,714.0993377483444
2021-05,472,1733714295.26,39,0.0826271186440678,0.13039545974576272,0.022401648305084745,713.6610169491526
2021-06,479,1632928659.27,38,0.07933194154488518,0.12449722964509394,0.019683949895615865,716.1210855949896
2021-07,463,1514562769.17,36,0.07775377969762419,0.12655078401727862,0.022056902807775378,715.341252699784
2021-08,457,1597358340.36,44,0.0962800875273523,0.1299597680525164,0.023360111597374177,715.0087527352298
2021-09,455,1447496985.43,34,0.07472527472527472,0.15351508351648352,0.022091694505494506,713.7604395604395
2021-10,468,1476325745.83,44,0.09401709401709402,0.15970682478632478,0.021794596153846154,713.1239316239316
2021-11,452,1370126585.22,43,0.09513274336283185,0.13042386061946903,0.02393151327433628,715.3252212389381
2021-12,464,1608286675.09,32,0.06896551724137931,0.12365504094827587,0.021014105603448276,717.1616379310345
2022-01,510,1721605720.55,42,0.08235294117647059,0.12910456470588236,0.02147796274509804,717.0745098039216
2022-02,464,1518602390.31,42,0.09051724137931035,0.13788754310344828,0.02282167025862069,715.7327586206897
2022-03,463,1557219930.47,23,0.04967602591792657,0.14819940820734342,0.019774431965442762,712.4902807775378
2022-04,447,1410645329.08,39,0.087248322147651,0.1625365727069351,0.02309425279642058,714.0111856823266
2022-05,448,1205180526.3700001,47,0.10491071428571429,0.17851215178571428,0.026632267857142854,711.5915178571429
2022-06,444,1383268745.85,37,0.08333333333333333,0.1717850945945946,0.022780610360360363,713.5450450450451
2022-07,482,1355507895.8,38,0.07883817427385892,0.1709516804979253,0.02311721161825726,716.4294605809129
2022-08,477,1453073853.17,37,0.07756813417190776,0.17171741928721174,0.021612433962264154,716.3626834381552
2022-09,440,1433964128.21,32,0.07272727272727272,0.13433018409090908,0.021885388636363638,715.6522727272727
2022-10,450,1496538312.9,40,0.08888888888888889,0.1808894266666667,0.022009062222222223,713.5777777777778
2022-11,464,1565212580.21,34,0.07327586206896551,0.18369978663793102,0.019953306034482757,715.7780172413793
2022-12,482,1556185177.61,39,0.08091286307053942,0.179590010373444,0.019735707468879666,716.0663900414938
2023-01,427,1230361411.82,38,0.08899297423887588,0.1813489531615925,0.020824316159250584,712.96018735363
2023-02,423,1515287643.34,34,0.08037825059101655,0.17735674940898347,0.01998410401891253,712.8817966903073
2023-03,412,1490483837.15,36,0.08737864077669903,0.17298482524271847,0.019934550970873786,714.5412621359224
2023-04,472,1624218989.33,29,0.0614406779661017,0.17868176906779662,0.02009533474576271,716.7966101694915
2023-05,479,1627440062.33,38,0.07933194154488518,0.184143630480167,0.021102070981210856,716.5281837160752
2023-06,454,1727022921.81,43,0.0947136563876652,0.1898071960352423,0.025772162995594712,712.3700440528635
2023-07,470,1638301709.18,30,0.06382978723404255,0.18091809574468085,0.02049841489361702,712.9170212765957
2023-08,474,1487921800.24,40,0.08438818565400844,0.18010063713080168,0.019338837552742613,712.5949367088608
2023-09,474,1586138346.58,32,0.06751054852320675,0.17296963924050635,0.017437890295358652,714.8544303797469
2023-10,450,1449624692.49,23,0.051111111111111114,0.17994563777777778,0.01946031111111111,715.1311111111111
2023-11,455,1441198886.9,38,0.08351648351648351,0.1830518153846154,0.022543136263736264,710.8593406593407
2023-12,516,1513901425.28,34,0.06589147286821706,0.16527658914728682,0.017588972868217055,720.2073643410853
