issuer_id,sector,year,from_rating,to_rating,upgraded,downgraded,defaulted,notches_moved
I00105,Healthcare,2015,AA,AA,0,0,0,0
I00106,Financials,2015,BBB,A,1,0,0,-1
I00107,Retail,2015,AA,AA,0,0,0,0
I00108,Telecom,2015,BB,BBB,1,0,0,-1
I00109,Retail,2015,BB,BB,0,0,0,0
I00110,Utilities,2015,BBB,BBB,0,0,0,0
I00111,Industrials,2015,BBB,A,1,0,0,-1
I00112,Energy,2015,BB,BB,0,0,0,0
I00113,Technology,2015,BBB,BBB,0,0,0,0
I00114,Telecom,2015,BBB,BBB,0,0,0,0
I00115,Technology,2015,A,B,0,1,0,3
I00116,Real_Estate,2015,A,A,0,0,0,0
I00117,Telecom,2015,BBB,BB,0,1,0,1
I00118,Industrials,2015,BB,B,0,1,0,1
I00119,Utilities,2015,A,A,0,0,0,0
I00120,Utilities,2015,BBB,BBB,0,0,0,0
I00121,Industrials,2015,BB,BBB,1,0,0,-1
I00122,Telecom,2015,BB,BB,0,0,0,0
I00123,Healthcare,2015,A,A,0,0,0,0
I00124,Industrials,2015,BBB,BB,0,1,0,1
I00125,Utilities,2015,B,B,0,0,0,0
I00126,Technology,2015,A,A,0,0,0,0
I00127,Utilities,2015,B,B,0,0,0,0
I00128,Healthcare,2015,BB,CCC,0,1,0,2
I00129,Telecom,2015,BB,B,0,1,0,1
I00130,Consumer,2015,BBB,BBB,0,0,0,0
I00131,Real_Estate,2015,BBB,A,1,0,0,-1
I00132,Retail,2015,BBB,BB,0,1,0,1
I00133,Real_Estate,2015,A,A,0,0,0,0
I00134,Healthcare,2015,BBB,A,1,0,0,-1
I00135,Technology,2015,A,A,0,0,0,0
I00136,Consumer,2015,B,B,0,0,0,0
I00137,Financials,2015,BBB,BBB,0,0,0,0
I00138,Telecom,2015,B,B,0,0,0,0
I00139,Telecom,2015,BB,BB,0,0,0,0
I00140,Consumer,2015,AA,AA,0,0,0,0
I00141,Energy,2015,BB,BB,0,0,0,0
I00142,Telecom,2015,BBB,BBB,0,0,0,0
I00143,Retail,2015,B,B,0,0,0,0
I00144,Financials,2015,BBB,BBB,0,0,0,0
I00145,Financials,2015,BBB,BBB,0,0,0,0
I00146,Technology,2015,AA,AA,0,0,0,0
I00147,Real_Estate,2015,AA,A,0,1,0,1
I00148,Retail,2015,A,A,0,0,0,0
I00149,Financials,2015,BBB,BBB,0,0,0,0
I00150,Retail,2015,B,BB,1,0,0,-1
I00151,Healthcare,2015,B,B,0,0,0,0
I00152,Energy,2015,BBB,BBB,0,0,0,0
I00153,Financials,2015,A,A,0,0,0,0
I00154,Energy,2015,B,B,0,0,0,0
I00155,Energy,2015,BBB,BBB,0,0,0,0
I00156,Telecom,2015,BBB,BBB,0,0,0,0
I00157,Retail,2015,A,A,0,0,0,0
I00158,Financials,2015,A,A,0,0,0,0
I00159,Consumer,2015,A,A,0,0,0,0
I00160,Consumer,2015,BBB,BBB,0,0,0,0
I00161,Technology,2015,BBB,A,1,0,0,-1
I00162,Real_Estate,2015,BB,BB,0,0,0,0
I00163,Technology,2015,CCC,D,0,0,1,1
I00164,Consumer,2015,A,A,0,0,0,0
I00165,Healthcare,2015,BB,BB,0,0,0,0
I00166,Telecom,2015,B,B,0,0,0,0
I00167,Utilities,2015,B,B,0,0,0,0
I00168,Utilities,2015,B,B,0,0,0,0
I00169,Technology,2015,AA,AA,0,0,0,0
I00170,Industrials,2015,B,B,0,0,0,0
I00171,Utilities,2015,A,A,0,0,0,0
I00172,Technology,2015,BBB,BB,0,1,0,1
I00173,Healthcare,2015,B,B,0,0,0,0
I00174,Utilities,2015,BB,BB,0,0,0,0
I00175,Technology,2015,BBB,BBB,0,0,0,0
I00176,Consumer,2015,BB,BB,0,0,0,0
I00177,Energy,2015,B,B,0,0,0,0
I00178,Telecom,2015,CCC,CCC,0,0,0,0
I00179,Consumer,2015,BBB,A,1,0,0,-1
I00180,Energy,2015,B,D,0,0,1,2
I00181,Industrials,2015,BB,BB,0,0,0,0
I00182,Consumer,2015,BBB,BBB,0,0,0,0
I00183,Financials,2015,BBB,BBB,0,0,0,0
I00184,Telecom,2015,B,B,0,0,0,0
I00185,Retail,2015,BBB,BBB,0,0,0,0
I00186,Energy,2015,BBB,BBB,0,0,0,0
I00187,Utilities,2015,AA,AA,0,0,0,0
I00188,Telecom,2015,BBB,BBB,0,0,0,0
I00189,Telecom,2015,B,B,0,0,0,0
I00190,Industrials,2015,B,B,0,0,0,0
I00191,Technology,2015,BBB,BBB,0,0,0,0
I00192,Technology,2015,CCC,CCC,0,0,0,0
I00193,Industrials,2015,BB,BB,0,0,0,0
I00194,Industrials,2015,BB,BB,0,0,0,0
I00195,Healthcare,2015,BB,B,0,1,0,1
I00196,Financials,2015,B,B,0,0,0,0
I00197,Industrials,2015,BBB,BBB,0,0,0,0
I00198,Healthcare,2015,BBB,BBB,0,0,0,0
I00199,Healthcare,2015,B,B,0,0,0,0
I00200,Retail,2015,BB,BBB,1,0,0,-1
I00201,Telecom,2015,BB,BBB,1,0,0,-1
I00202,Utilities,2015,B,B,0,0,0,0
I00203,Financials,2015,AA,A,0,1,0,1
I00204,Energy,2015,BBB,BB,0,1,0,1
I00205,Healthcare,2015,CCC,CCC,0,0,0,0
I00206,Industrials,2015,A,A,0,0,0,0
I00207,Retail,2015,BBB,BBB,0,0,0,0
I00208,Healthcare,2015,BBB,BBB,0,0,0,0
I00209,Utilities,2015,B,B,0,0,0,0
I00210,Telecom,2015,BBB,BBB,0,0,0,0
I00211,Healthcare,2015,BBB,BBB,0,0,0,0
I00212,Healthcare,2015,B,B,0,0,0,0
I00213,Retail,2015,AA,AA,0,0,0,0
I00214,Energy,2015,A,A,0,0,0,0
I00215,Energy,2015,A,A,0,0,0,0
I00216,Technology,2015,A,A,0,0,0,0
I00217,Consumer,2015,B,B,0,0,0,0
I00218,Telecom,2015,BB,BB,0,0,0,0
I00219,Telecom,2015,A,A,0,0,0,0
I00220,Utilities,2015,A,A,0,0,0,0
I00221,Retail,2015,B,B,0,0,0,0
I00222,Financials,2015,CCC,D,0,0,1,1
I00223,Financials,2015,CCC,D,0,0,1,1
I00224,Financials,2015,A,A,0,0,0,0
I00225,Financials,2015,AA,AA,0,0,0,0
I00226,Industrials,2015,B,B,0,0,0,0
I00227,Technology,2015,B,B,0,0,0,0
I00228,Utilities,2015,BBB,BBB,0,0,0,0
I00229,Telecom,2015,BBB,BBB,0,0,0,0
I00230,Industrials,2015,BBB,BBB,0,0,0,0
I00231,Retail,2015,A,A,0,0,0,0
I00232,Industrials,2015,B,CCC,0,1,0,1
I00233,Healthcare,2015,BB,BB,0,0,0,0
I00234,Real_Estate,2015,BBB,BBB,0,0,0,0
I00235,Healthcare,2015,BB,BB,0,0,0,0
I00236,Healthcare,2015,BBB,BBB,0,0,0,0
I00237,Financials,2015,AA,AA,0,0,0,0
I00238,Healthcare,2015,CCC,CCC,0,0,0,0
I00239,Industrials,2015,A,A,0,0,0,0
I00240,Real_Estate,2015,A,A,0,0,0,0
I00241,Healthcare,2015,A,A,0,0,0,0
I00242,Telecom,2015,B,B,0,0,0,0
I00243,Telecom,2015,BBB,BBB,0,0,0,0
I00244,Real_Estate,2015,B,B,0,0,0,0
I00245,Telecom,2015,BB,BB,0,0,0,0
I00246,Technology,2015,BB,BB,0,0,0,0
I00247,Industrials,2015,BB,BB,0,0,0,0
I00248,Telecom,2015,A,A,0,0,0,0
I00249,Technology,2015,BB,BB,0,0,0,0
I00250,Industrials,2015,AA,AA,0,0,0,0
I00251,Consumer,2015,BBB,BBB,0,0,0,0
I00252,Utilities,2015,BBB,BBB,0,0,0,0
I00253,Telecom,2015,AA,AA,0,0,0,0
I00254,Real_Estate,2015,BB,BB,0,0,0,0
I00255,Consumer,2015,BB,BB,0,0,0,0
I00256,Telecom,2015,A,A,0,0,0,0
I00257,Utilities,2015,BB,BB,0,0,0,0
I00258,Real_Estate,2015,BBB,A,1,0,0,-1
I00259,Telecom,2015,B,B,0,0,0,0
I00260,Healthcare,2015,B,B,0,0,0,0
I00261,Utilities,2015,A,A,0,0,0,0
I00262,Technology,2015,AAA,AAA,0,0,0,0
I00263,Energy,2015,BB,BB,0,0,0,0
I00264,Telecom,2015,AAA,AAA,0,0,0,0
I00265,Real_Estate,2015,B,BBB,1,0,0,-2
I00266,Real_Estate,2015,BB,BB,0,0,0,0
I00267,Healthcare,2015,BBB,BBB,0,0,0,0
I00268,Telecom,2015,AA,AA,0,0,0,0
I00269,Real_Estate,2015,CCC,D,0,0,1,1
I00270,Utilities,2015,BBB,BBB,0,0,0,0
I00271,Retail,2015,BB,BB,0,0,0,0
I00272,Consumer,2015,BB,BB,0,0,0,0
I00273,Energy,2015,A,A,0,0,0,0
I00274,Consumer,2015,CCC,B,1,0,0,-1
I00275,Financials,2015,B,B,0,0,0,0
I00276,Financials,2015,B,B,0,0,0,0
I00277,Retail,2015,BBB,BBB,0,0,0,0
I00278,Retail,2015,BB,BB,0,0,0,0
I00279,Financials,2015,BB,BB,0,0,0,0
I00280,Utilities,2015,AA,AA,0,0,0,0
I00281,Utilities,2015,AAA,AAA,0,0,0,0
I00282,Healthcare,2015,BBB,BB,0,1,0,1
I00283,Healthcare,2015,AAA,AA,0,1,0,1
I00284,Healthcare,2015,CCC,CCC,0,0,0,0
I00285,Energy,2015,BBB,BBB,0,0,0,0
I00286,Technology,2015,B,D,0,0,1,2
I00287,Energy,2015,AA,BBB,0,1,0,2
I00288,Technology,2015,BB,BB,0,0,0,0
I00289,Industrials,2015,BBB,BBB,0,0,0,0
I00290,Retail,2015,BB,BB,0,0,0,0
I00291,Energy,2015,AA,AA,0,0,0,0
I00292,Energy,2015,BBB,BBB,0,0,0,0
I00293,Industrials,2015,BBB,A,1,0,0,-1
I00294,Financials,2015,BBB,BBB,0,0,0,0
I00295,Financials,2015,A,A,0,0,0,0
I00296,Technology,2015,BB,BB,0,0,0,0
I00297,Telecom,2015,BB,BB,0,0,0,0
I00298,Utilities,2015,BBB,BBB,0,0,0,0
I00299,Financials,2015,BBB,A,1,0,0,-1
I00300,Real_Estate,2015,BB,BB,0,0,0,0
I00301,Healthcare,2015,BB,BB,0,0,0,0
I00302,Utilities,2015,BBB,BBB,0,0,0,0
I00303,Financials,2015,AA,AA,0,0,0,0
I00304,Financials,2015,BBB,A,1,0,0,-1
I00305,Consumer,2015,BB,BB,0,0,0,0
I00306,Telecom,2015,CCC,CCC,0,0,0,0
I00307,Energy,2015,CCC,D,0,0,1,1
I00308,Real_Estate,2015,BBB,BBB,0,0,0,0
I00309,Energy,2015,BBB,A,1,0,0,-1
I00310,Healthcare,2015,A,A,0,0,0,0
I00311,Real_Estate,2015,B,B,0,0,0,0
I00312,Technology,2015,BBB,BBB,0,0,0,0
I00313,Consumer,2015,BBB,A,1,0,0,-1
I00314,Industrials,2015,AAA,AAA,0,0,0,0
I00315,Industrials,2015,BB,BB,0,0,0,0
I00316,Technology,2015,BB,BB,0,0,0,0
I00317,Healthcare,2015,A,D,0,0,1,5
I00318,Energy,2015,B,B,0,0,0,0
I00319,Financials,2015,AA,AA,0,0,0,0
I00320,Consumer,2015,BBB,BBB,0,0,0,0
I00321,Healthcare,2015,A,A,0,0,0,0
I00322,Technology,2015,B,B,0,0,0,0
I00323,Utilities,2015,CCC,CCC,0,0,0,0
I00324,Financials,2015,B,B,0,0,0,0
I00325,Retail,2015,BBB,BBB,0,0,0,0
I00326,Telecom,2015,BBB,BBB,0,0,0,0
I00327,Utilities,2015,BBB,A,1,0,0,-1
I00328,Real_Estate,2015,BBB,BBB,0,0,0,0
I00329,Technology,2015,A,AA,1,0,0,-1
I00330,Industrials,2015,BBB,BBB,0,0,0,0
I00331,Utilities,2015,CCC,CCC,0,0,0,0
I00332,Telecom,2015,BB,BB,0,0,0,0
I00333,Consumer,2015,BB,BB,0,0,0,0
I00334,Utilities,2015,BBB,BBB,0,0,0,0
I00335,Utilities,2015,BB,BB,0,0,0,0
I00336,Utilities,2015,B,B,0,0,0,0
I00337,Financials,2015,AA,AA,0,0,0,0
I00338,Financials,2015,BBB,BBB,0,0,0,0
I00339,Retail,2015,BBB,BBB,0,0,0,0
I00340,Real_Estate,2015,BB,BB,0,0,0,0
I00341,Financials,2015,BBB,BBB,0,0,0,0
I00342,Technology,2015,BB,BBB,1,0,0,-1
I00343,Consumer,2015,BB,BB,0,0,0,0
I00344,Energy,2015,AA,AA,0,0,0,0
I00345,Utilities,2015,BB,BB,0,0,0,0
I00346,Industrials,2015,BB,BB,0,0,0,0
I00347,Financials,2015,B,B,0,0,0,0
I00348,Retail,2015,BBB,BBB,0,0,0,0
I00349,Utilities,2015,BBB,BBB,0,0,0,0
I00350,Healthcare,2015,B,B,0,0,0,0
I00351,Technology,2015,AA,AA,0,0,0,0
I00352,Utilities,2015,A,A,0,0,0,0
I00353,Retail,2015,BB,BB,0,0,0,0
I00354,Healthcare,2015,AA,AA,0,0,0,0
I00355,Healthcare,2015,B,BB,1,0,0,-1
I00356,Healthcare,2015,AA,AA,0,0,0,0
I00357,Industrials,2015,A,A,0,0,0,0
I00358,Financials,2015,CCC,D,0,0,1,1
I00359,Consumer,2015,A,A,0,0,0,0
I00360,Real_Estate,2015,BBB,B,0,1,0,2
I00361,Healthcare,2015,BB,BB,0,0,0,0
I00362,Industrials,2015,BBB,BBB,0,0,0,0
I00363,Energy,2015,BBB,BBB,0,0,0,0
I00364,Telecom,2015,CCC,B,1,0,0,-1
I00365,Retail,2015,B,D,0,0,1,2
I00366,Energy,2015,BB,BB,0,0,0,0
I00367,Utilities,2015,BBB,BBB,0,0,0,0
I00368,Healthcare,2015,BBB,BBB,0,0,0,0
I00369,Healthcare,2015,BBB,BBB,0,0,0,0
I00370,Utilities,2015,BBB,BBB,0,0,0,0
I00371,Technology,2015,A,A,0,0,0,0
I00372,Energy,2015,BB,B,0,1,0,1
I00373,Energy,2015,A,A,0,0,0,0
I00374,Utilities,2015,BB,BB,0,0,0,0
I00375,Retail,2015,BBB,BBB,0,0,0,0
I00376,Industrials,2015,BB,BB,0,0,0,0
I00377,Energy,2015,A,A,0,0,0,0
I00378,Technology,2015,CCC,B,1,0,0,-1
I00379,Healthcare,2015,AA,AA,0,0,0,0
I00380,Financials,2015,A,A,0,0,0,0
I00381,Telecom,2015,A,A,0,0,0,0
I00382,Energy,2015,BB,BB,0,0,0,0
I00383,Financials,2015,B,B,0,0,0,0
I00384,Healthcare,2015,BB,BB,0,0,0,0
I00385,Industrials,2015,AAA,AAA,0,0,0,0
I00386,Real_Estate,2015,BBB,BBB,0,0,0,0
I00387,Financials,2015,BB,BB,0,0,0,0
I00388,Retail,2015,B,B,0,0,0,0
I00389,Healthcare,2015,CCC,B,1,0,0,-1
I00390,Consumer,2015,B,B,0,0,0,0
I00391,Technology,2015,AA,AA,0,0,0,0
I00392,Healthcare,2015,BBB,BBB,0,0,0,0
I00393,Industrials,2015,BB,BB,0,0,0,0
I00394,Technology,2015,BB,BB,0,0,0,0
I00395,Healthcare,2015,BBB,BBB,0,0,0,0
I00396,Industrials,2015,B,B,0,0,0,0
I00397,Energy,2015,BB,BB,0,0,0,0
I00398,Retail,2015,AA,AA,0,0,0,0
I00399,Technology,2015,BBB,BBB,0,0,0,0
I00400,Industrials,2015,BB,BBB,1,0,0,-1
I00401,Utilities,2015,B,B,0,0,0,0
I00402,Retail,2015,CCC,CCC,0,0,0,0
I00403,Energy,2015,B,B,0,0,0,0
I00404,Industrials,2015,BB,BB,0,0,0,0
I00405,Retail,2015,B,B,0,0,0,0
I00406,Financials,2015,B,B,0,0,0,0
I00407,Energy,2015,A,A,0,0,0,0
I00408,Financials,2015,BB,BB,0,0,0,0
I00409,Technology,2015,A,A,0,0,0,0
I00410,Energy,2015,BB,BB,0,0,0,0
I00411,Retail,2015,BB,BB,0,0,0,0
I00412,Industrials,2015,A,A,0,0,0,0
I00413,Consumer,2015,BB,D,0,0,1,3
I00414,Real_Estate,2015,B,B,0,0,0,0
I00415,Healthcare,2015,CCC,CCC,0,0,0,0
I00416,Energy,2015,BBB,BBB,0,0,0,0
I00417,Consumer,2015,B,B,0,0,0,0
I00418,Industrials,2015,CCC,CCC,0,0,0,0
I00419,Industrials,2015,BBB,BBB,0,0,0,0
I00420,Telecom,2015,BBB,BBB,0,0,0,0
I00421,Retail,2015,AA,AA,0,0,0,0
I00422,Healthcare,2015,B,B,0,0,0,0
I00423,Industrials,2015,B,B,0,0,0,0
I00424,Telecom,2015,A,AA,1,0,0,-1
I00425,Healthcare,2015,BB,BB,0,0,0,0
I00426,Telecom,2015,BB,BB,0,0,0,0
I00427,Financials,2015,BB,BB,0,0,0,0
I00428,Retail,2015,AA,AA,0,0,0,0
I00429,Industrials,2015,BBB,BBB,0,0,0,0
I00430,Financials,2015,BB,BBB,1,0,0,-1
I00431,Financials,2015,CCC,CCC,0,0,0,0
I00432,Financials,2015,BB,BB,0,0,0,0
I00433,Real_Estate,2015,A,A,0,0,0,0
I00434,Consumer,2015,BB,BB,0,0,0,0
I00435,Retail,2015,B,B,0,0,0,0
I00436,Healthcare,2015,BB,B,0,1,0,1
I00437,Technology,2015,BB,BB,0,0,0,0
I00438,Financials,2015,BB,BB,0,0,0,0
I00439,Real_Estate,2015,CCC,CCC,0,0,0,0
I00440,Energy,2015,AA,AA,0,0,0,0
I00441,Industrials,2015,BBB,BBB,0,0,0,0
I00442,Consumer,2015,BBB,BBB,0,0,0,0
I00443,Retail,2015,B,B,0,0,0,0
I00444,Financials,2015,BBB,BB,0,1,0,1
I00445,Industrials,2015,BBB,BBB,0,0,0,0
I00446,Financials,2015,B,B,0,0,0,0
I00447,Retail,2015,A,A,0,0,0,0
I00448,Energy,2015,CCC,CCC,0,0,0,0
I00449,Consumer,2015,CCC,CCC,0,0,0,0
I00450,Healthcare,2015,B,B,0,0,0,0
I00451,Energy,2015,AAA,AAA,0,0,0,0
I00452,Industrials,2015,A,A,0,0,0,0
I00453,Energy,2015,BBB,BBB,0,0,0,0
I00454,Financials,2015,BBB,BBB,0,0,0,0
I00455,Financials,2015,BB,BB,0,0,0,0
I00456,Healthcare,2015,CCC,CCC,0,0,0,0
I00457,Industrials,2015,BB,BB,0,0,0,0
I00458,Telecom,2015,B,BB,1,0,0,-1
I00459,Financials,2015,CCC,CCC,0,0,0,0
I00460,Telecom,2015,AAA,AAA,0,0,0,0
I00461,Energy,2015,BB,BB,0,0,0,0
I00462,Real_Estate,2015,A,A,0,0,0,0
I00463,Financials,2015,BBB,BBB,0,0,0,0
I00464,Healthcare,2015,A,A,0,0,0,0
I00465,Energy,2015,AAA,AAA,0,0,0,0
I00466,Energy,2015,BBB,BBB,0,0,0,0
I00467,Financials,2015,A,A,0,0,0,0
I00468,Technology,2015,BBB,A,1,0,0,-1
I00469,Real_Estate,2015,AA,AA,0,0,0,0
I00470,Financials,2015,BBB,BBB,0,0,0,0
I00471,Energy,2015,B,B,0,0,0,0
I00472,Retail,2015,B,B,0,0,0,0
I00473,Industrials,2015,B,B,0,0,0,0
I00474,Technology,2015,B,B,0,0,0,0
I00475,Telecom,2015,BBB,BBB,0,0,0,0
I00476,Utilities,2015,BBB,BBB,0,0,0,0
I00477,Technology,2015,BBB,BBB,0,0,0,0
I00478,Healthcare,2015,BBB,BBB,0,0,0,0
I00479,Consumer,2015,BB,BBB,1,0,0,-1
I00480,Industrials,2015,BBB,A,1,0,0,-1
I00481,Consumer,2015,CCC,CCC,0,0,0,0
I00482,Telecom,2015,BBB,BBB,0,0,0,0
I00483,Utilities,2015,CCC,CCC,0,0,0,0
I00484,Real_Estate,2015,BBB,BBB,0,0,0,0
I00485,Consumer,2015,BBB,BBB,0,0,0,0
I00486,Utilities,2015,BB,BB,0,0,0,0
I00487,Consumer,2015,BBB,BBB,0,0,0,0
I00488,Utilities,2015,BBB,BBB,0,0,0,0
I00489,Industrials,2015,CCC,CCC,0,0,0,0
I00490,Utilities,2015,AA,A,0,1,0,1
I00491,Utilities,2015,BB,BB,0,0,0,0
I00492,Financials,2015,BB,BB,0,0,0,0
I00493,Industrials,2015,BB,BB,0,0,0,0
I00494,Utilities,2015,CCC,BB,1,0,0,-2
I00495,Financials,2015,BBB,BBB,0,0,0,0
I00496,Energy,2015,BB,BBB,1,0,0,-1
I00497,Industrials,2015,B,B,0,0,0,0
I00498,Utilities,2015,BBB,BBB,0,0,0,0
I00499,Real_Estate,2015,BB,BB,0,0,0,0
I00500,Financials,2015,CCC,CCC,0,0,0,0
I00501,Real_Estate,2015,BBB,B,0,1,0,2
I00502,Consumer,2015,AA,AA,0,0,0,0
I00503,Telecom,2015,BBB,BBB,0,0,0,0
I00504,Retail,2015,CCC,CCC,0,0,0,0
I00505,Financials,2015,B,B,0,0,0,0
I00506,Utilities,2015,BB,BB,0,0,0,0
I00507,Real_Estate,2015,A,A,0,0,0,0
I00508,Industrials,2015,A,A,0,0,0,0
I00509,Real_Estate,2015,BB,BB,0,0,0,0
I00510,Consumer,2015,BB,BB,0,0,0,0
I00511,Consumer,2015,B,B,0,0,0,0
I00512,Financials,2015,BB,BB,0,0,0,0
I00513,Financials,2015,AA,AA,0,0,0,0
I00514,Technology,2015,CCC,CCC,0,0,0,0
I00515,Retail,2015,B,B,0,0,0,0
I00516,Consumer,2015,B,B,0,0,0,0
I00517,Retail,2015,BBB,A,1,0,0,-1
I00518,Industrials,2015,BBB,BBB,0,0,0,0
I00519,Telecom,2015,AA,AA,0,0,0,0
I00520,Telecom,2015,BB,BB,0,0,0,0
I00521,Telecom,2015,B,BB,1,0,0,-1
I00522,Utilities,2015,A,A,0,0,0,0
I00523,Utilities,2015,BBB,BBB,0,0,0,0
I00524,Healthcare,2015,BB,B,0,1,0,1
I00525,Industrials,2015,CCC,CCC,0,0,0,0
I00526,Utilities,2015,B,B,0,0,0,0
I00527,Real_Estate,2015,BB,BB,0,0,0,0
I00528,Real_Estate,2015,BB,BBB,1,0,0,-1
I00529,Telecom,2015,BBB,BBB,0,0,0,0
I00530,Healthcare,2015,B,B,0,0,0,0
I00531,Technology,2015,AA,AA,0,0,0,0
I00532,Consumer,2015,BBB,BBB,0,0,0,0
I00533,Financials,2015,B,B,0,0,0,0
I00534,Utilities,2015,BBB,BBB,0,0,0,0
I00535,Healthcare,2015,A,A,0,0,0,0
